product_type,product_category,product_name,product_id,fromdate,todate,loaddate
sku,AI Literacy,AI Literacy,0f2a1b73-eb01-49a4-bed9-ba96591c5396,7/1/2026,12/31/3000,8/10/2026
sku,AI Literacy (Limited),AI Literacy (Limited),68b273b5-a8e4-44c8-b596-31d1733361f4,7/1/2026,12/31/3000,8/10/2026
seq,AI Literacy Student-Driven Learning Path,AI Literacy Student-Driven Learning Path - PreKindergarten,db8b6d29-e05b-4737-94a1-9c558e4ae0f6,7/1/2026,12/31/3000,8/10/2026
seq,AI Literacy Student-Driven Learning Path,AI Literacy Student-Driven Learning Path - Kindergarten,b48c6c80-31e3-44f7-b6a0-e8401693f4ac,7/1/2026,12/31/3000,8/10/2026
seq,AI Literacy Student-Driven Learning Path,AI Literacy Student-Driven Learning Path - 1st Grade,bffcadd8-8595-4b25-a595-dd29a66a2ca6,7/1/2026,12/31/3000,8/10/2026
seq,AI Literacy Student-Driven Learning Path,AI Literacy Student-Driven Learning Path - 2nd Grade,2fb24712-1372-4eee-924c-0dc7ea57758d,7/1/2026,12/31/3000,8/10/2026
seq,AI Literacy Student-Driven Learning Path,AI Literacy Student-Driven Learning Path - 3rd Grade,9f8c34c5-345a-4bdf-b25a-4d55dd927d3c,7/1/2026,12/31/3000,8/10/2026
seq,AI Literacy Student-Driven Learning Path,AI Literacy Student-Driven Learning Path - 4th Grade,7a659659-d2f1-4b93-8b1e-0f6ec6fba9ae,7/1/2026,12/31/3000,8/10/2026
seq,AI Literacy Student-Driven Learning Path,AI Literacy Student-Driven Learning Path - 5th Grade,be93b2fa-14bc-4c79-8a5b-db4e0c9a4e4c,7/1/2026,12/31/3000,8/10/2026
seq,AI Literacy Student-Driven Learning Path,AI Literacy Student-Driven Learning Path - 6th Grade,3ab2d843-d935-4c4a-a546-a9b9a257f6dd,7/1/2026,12/31/3000,8/10/2026
seq,AI Literacy Student-Driven Learning Path,AI Literacy Student-Driven Learning Path - 7th Grade,08d68550-d312-4125-922a-5b09dabf8999,7/1/2026,12/31/3000,8/10/2026
seq,AI Literacy Student-Driven Learning Path,AI Literacy Student-Driven Learning Path - 8th Grade,1463943b-37b6-4dad-8a47-e4c1643be6e6,7/1/2026,12/31/3000,8/10/2026
sku,Assessments,Digital Literacy Assessments,7ff89407-6fb0-4943-9cac-ac63e35df034,1/1/1900,12/31/3000,8/10/2026
seq,Common Sense Education,Common Sense Education,8770bc86-37d4-4130-af72-5b3dd17b15d8,1/1/1900,12/31/3000,8/10/2026
seq,Digital Readiness,Digital Readiness Pathway - Level 7,528f1886-c0a7-411c-b9bd-e89d861706c0,1/1/1900,8/1/2024,8/10/2026
seq,Digital Readiness,Digital Readiness Pathway - Level 6,f2d32ed6-91e6-4ba9-a948-829f8b469384,1/1/1900,8/1/2024,8/10/2026
seq,Digital Readiness,Digital Readiness Pathway - Level 5,0f746c59-abee-4b99-8da0-90b878cebfc9,1/1/1900,8/1/2024,8/10/2026
seq,Digital Readiness,Digital Readiness Pathway - Level 4,fe2ef82b-f3a5-442d-b680-44158a607ed8,1/1/1900,8/1/2024,8/10/2026
seq,Digital Readiness,Digital Readiness Pathway - Level 8,256464a4-ecda-4987-8e1e-0c66104ae1f3,1/1/1900,8/1/2024,8/10/2026
seq,Digital Readiness,Digital Readiness Pathway - Level 1,e99803d0-71f8-40f7-ad34-0757e5e74084,1/1/1900,8/1/2024,8/10/2026
seq,Digital Readiness,Digital Readiness Pathway - Level 3,8a4a79f9-017f-4fda-9db9-9f53d5b7eab5,1/1/1900,8/1/2024,8/10/2026
seq,Digital Readiness,Digital Readiness Pathway - Level K,7782c7d0-1d97-4fcf-859e-63d10d03d4f3,1/1/1900,8/1/2024,8/10/2026
seq,Digital Readiness,Digital Readiness Pathway - Level 2,73823267-9341-4b16-8950-8587ace24559,1/1/1900,8/1/2024,8/10/2026
